state,state_abrev,ownership_type,occ_title,title,employment_total,employment_per_1000,occupation_share_per_area_employment,Pct_Ind_Employ,pct_rpt,mean_hourly_wage,mean_salary
Florida,FL,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"3,710",0.388,1.24,,,40.84,"84,950"
Georgia,GA,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"1,920",0.404,1.3,,,42.94,"89,310"
Hawaii,HI,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,250,0.403,1.29,,,40.64,"84,540"
Idaho,ID,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,220,0.261,0.84,,,36.43,"75,770"
Illinois,IL,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,870,0.145,0.47,,,43.27,"90,000"
Indiana,IN,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,540,0.17,0.54,,,39.4,"81,950"
Iowa,IA,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,470,0.301,0.97,,,39.53,"82,220"
Kansas,KS,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,350,0.247,0.79,,,39.03,"81,190"
Kentucky,KY,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,550,0.282,0.91,,,35.2,"73,220"
Louisiana,LA,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,400,0.214,0.69,,,37.17,"77,310"
Maine,ME,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,170,0.267,0.86,,,36.75,"76,440"
Maryland,MD,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"2,440",0.912,2.93,,,51.02,"106,130"
Massachusetts,MA,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"1,250",0.343,1.1,,,44.69,"92,950"
Michigan,MI,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,610,0.14,0.45,,,41.4,"86,120"
Minnesota,MN,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,300,0.104,0.33,,,44.7,"92,970"
Mississippi,MS,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,370,0.319,1.02,,,36.33,"75,560"
Missouri,MO,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,470,0.162,0.52,,,37.97,"78,980"
Montana,MT,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,300,0.596,1.91,,,33.83,"70,360"
Nebraska,NE,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,210,0.208,0.67,,,39.15,"81,440"
Nevada,NV,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,350,0.24,0.77,,,38.06,"79,160"
New Hampshire,NH,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,110,0.162,0.52,,,47.32,"98,420"
New Jersey,NJ,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,750,0.178,0.57,,,43.02,"89,470"
New Mexico,NM,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,630,0.749,2.4,,,44.98,"93,550"
New York,NY,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"2,990",0.318,1.02,,,47.97,"99,780"
North Carolina,NC,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"1,650",0.345,1.11,,,39.04,"81,210"
North Dakota,ND,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,70,0.17,0.55,,,37.58,"78,160"
Ohio,OH,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,810,0.148,0.47,,,42.65,"88,720"
Oklahoma,OK,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,510,0.307,0.99,,,35.68,"74,210"
Oregon,OR,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,880,0.453,1.45,,,43.46,"90,390"
Pennsylvania,PA,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"1,070",0.18,0.58,,,40.57,"84,380"
Rhode Island,RI,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,100,0.2,0.64,,,43.75,"90,990"
South Carolina,SC,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,450,0.202,0.65,,,37.43,"77,860"
South Dakota,SD,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,120,0.268,0.86,,,36.52,"75,970"
Tennessee,TN,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,960,0.3,0.96,,,39.82,"82,830"
Texas,TX,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"3,770",0.278,0.89,,,39.31,"81,760"
Utah,UT,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,450,0.266,0.85,,,42.37,"88,120"
Vermont,VT,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,40,0.145,0.47,,,38.61,"80,300"
Virginia,VA,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"2,620",0.658,2.11,,,50.02,"104,050"
Washington,WA,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"1,100",0.315,1.01,,,44.11,"91,740"
West Virginia,WV,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,200,0.287,0.92,,,38.09,"79,220"
Wisconsin,WI,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,"1,050",0.365,1.17,,,38.46,"79,990"
Wyoming,WY,"Federal, State, and Local Government and Private Sector",Budget Analysts,Business Intelligence,90,0.32,1.03,,,37.52,"78,040"
Alabama,AL,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,470,0.228,0.47,,,43.32,"90,100"
Alaska,AK,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,30,0.108,0.22,,,34.61,"71,990"
Arizona,AZ,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"2,630",0.84,1.74,,,36.5,"75,920"
Arkansas,AR,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,250,0.195,0.4,,,31.97,"66,500"
California,CA,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"6,260",0.349,0.72,,,47.7,"99,220"
Colorado,CO,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"1,200",0.423,0.88,,,48.6,"101,090"
Connecticut,CT,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,570,0.346,0.72,,,43.03,"89,500"
District of Columbia,DC,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,50,0.069,0.14,,,42.87,"89,180"
Florida,FL,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"4,160",0.435,0.9,,,41.52,"86,360"
Georgia,GA,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"1,760",0.37,0.77,,,39.87,"82,920"
Hawaii,HI,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,90,0.144,0.3,,,40.44,"84,110"
Idaho,ID,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,450,0.545,1.13,,,35.98,"74,830"
Illinois,IL,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"3,500",0.582,1.21,,,47.83,"99,490"
Indiana,IN,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,760,0.239,0.5,,,34.97,"72,730"
Iowa,IA,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,970,0.625,1.3,,,45.55,"94,750"
Kansas,KS,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,590,0.419,0.87,,,37.08,"77,130"
Kentucky,KY,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,810,0.41,0.85,,,39.52,"82,210"
Louisiana,LA,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,230,0.124,0.26,,,32.63,"67,870"
Maine,ME,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,230,0.376,0.78,,,39.22,"81,580"
Maryland,MD,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"1,130",0.422,0.88,,,44.89,"93,370"
Massachusetts,MA,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"1,990",0.545,1.13,,,48.47,"100,820"
Michigan,MI,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"1,460",0.335,0.7,,,36.54,"76,010"
Minnesota,MN,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"1,660",0.575,1.19,,,38.99,"81,100"
Mississippi,MS,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,320,0.277,0.57,,,31.87,"66,290"
Missouri,MO,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"1,190",0.414,0.86,,,36.96,"76,870"
Montana,MT,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,230,0.455,0.94,,,33.76,"70,220"
Nebraska,NE,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,530,0.534,1.11,,,38.27,"79,600"
Nevada,NV,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,360,0.241,0.5,,,39.78,"82,740"
New Hampshire,NH,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,290,0.43,0.89,,,41.18,"85,640"
New Jersey,NJ,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"2,250",0.535,1.11,,,45.6,"94,850"
New Mexico,NM,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,90,0.107,0.22,,,40.5,"84,240"
New York,NY,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"8,550",0.911,1.89,,,68.45,"142,370"
North Carolina,NC,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"3,390",0.707,1.47,,,47.95,"99,730"
North Dakota,ND,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,300,0.727,1.51,,,42.48,"88,360"
Ohio,OH,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"3,020",0.552,1.14,,,39.34,"81,830"
Oklahoma,OK,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,770,0.465,0.96,,,35.63,"74,100"
Oregon,OR,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,820,0.424,0.88,,,39.14,"81,420"
Pennsylvania,PA,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"2,440",0.411,0.85,,,40.98,"85,230"
Rhode Island,RI,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,220,0.458,0.95,,,43.87,"91,240"
South Carolina,SC,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,900,0.406,0.84,,,41.2,"85,700"
South Dakota,SD,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,340,0.772,1.6,,,35.29,"73,400"
Tennessee,TN,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"1,280",0.399,0.83,,,35.79,"74,450"
Texas,TX,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"7,120",0.525,1.09,,,40.13,"83,470"
Utah,UT,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,980,0.586,1.22,,,33.75,"70,200"
Vermont,VT,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,80,0.252,0.52,,,41.83,"87,010"
Virginia,VA,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"2,130",0.535,1.11,,,51.45,"107,020"
Washington,WA,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"1,610",0.461,0.96,,,49.89,"103,770"
West Virginia,WV,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,130,0.184,0.38,,,29.89,"62,180"
Wisconsin,WI,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,"1,880",0.652,1.35,,,40.45,"84,130"
Wyoming,WY,"Federal, State, and Local Government and Private Sector",Credit Analysts,Business Intelligence,100,0.369,0.77,,,40.73,"84,710"
Alabama,AL,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"2,250",1.095,0.51,,,47.91,"99,640"
Alaska,AK,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,270,0.854,0.4,,,53.16,"110,580"
Arizona,AZ,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"6,260",2,0.93,,,48.86,"101,630"
Arkansas,AR,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"1,310",1.033,0.48,,,40.71,"84,690"
California,CA,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"35,660",1.987,0.93,,,60.2,"125,220"
Colorado,CO,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"8,460",2.989,1.4,,,54.56,"113,480"
Connecticut,CT,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"5,610",3.38,1.58,,,56.28,"117,060"
Delaware,DE,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"2,920",6.225,2.91,,,52.46,"109,110"
District of Columbia,DC,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"3,710",5.291,2.47,,,55.59,"115,620"
Florida,FL,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"18,070",1.888,0.88,,,46.16,"96,010"
Georgia,GA,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"10,450",2.196,1.03,,,48.08,"100,010"
Hawaii,HI,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,520,0.845,0.39,,,40.79,"84,850"
Idaho,ID,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,840,1.017,0.47,,,41.49,"86,300"
Illinois,IL,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"17,060",2.837,1.32,,,57.88,"120,390"
Indiana,IN,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"2,430",0.771,0.36,,,41.6,"86,530"
Iowa,IA,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"2,180",1.409,0.66,,,43.81,"91,130"
Kansas,KS,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"1,790",1.269,0.59,,,39.54,"82,250"
Kentucky,KY,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"2,340",1.19,0.56,,,35.74,"74,340"
Louisiana,LA,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"1,700",0.919,0.43,,,31.29,"65,070"
Maine,ME,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,710,1.146,0.54,,,43.31,"90,080"
Maryland,MD,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"3,810",1.425,0.67,,,52.72,"109,650"
Massachusetts,MA,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"16,840",4.622,2.16,,,61.42,"127,760"
Michigan,MI,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"7,520",1.731,0.81,,,46.01,"95,710"
Minnesota,MN,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"6,620",2.297,1.07,,,49.49,"102,950"
Mississippi,MS,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,650,0.563,0.26,,,41.63,"86,580"
Missouri,MO,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"5,650",1.964,0.92,,,41.5,"86,310"
Montana,MT,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,390,0.77,0.36,,,61.88,"128,720"
Nebraska,NE,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,940,0.938,0.44,,,43.93,"91,370"
Nevada,NV,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"1,030",0.694,0.32,,,45.77,"95,200"
New Hampshire,NH,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,690,1.019,0.48,,,46.09,"95,870"
New Jersey,NJ,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"11,250",2.677,1.25,,,61.67,"128,280"
New Mexico,NM,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,810,0.956,0.45,,,43.43,"90,340"
New York,NY,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"49,220",5.241,2.45,,,68.91,"143,330"
North Carolina,NC,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"10,490",2.187,1.02,,,50.29,"104,610"
North Dakota,ND,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,280,0.664,0.31,,,39.48,"82,130"
Ohio,OH,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"7,820",1.43,0.67,,,45.96,"95,600"
Oklahoma,OK,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"1,760",1.06,0.5,,,43.03,"89,500"
Oregon,OR,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"2,390",1.228,0.57,,,49.93,"103,840"
Pennsylvania,PA,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"12,020",2.021,0.94,,,45.38,"94,400"
Rhode Island,RI,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"1,870",3.828,1.79,,,46.68,"97,090"
South Carolina,SC,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"3,470",1.562,0.73,,,49.46,"102,870"
South Dakota,SD,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,620,1.389,0.65,,,41.37,"86,050"
Tennessee,TN,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"3,230",1.003,0.47,,,45.75,"95,160"
Texas,TX,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"25,100",1.852,0.86,,,49.32,"102,590"
Utah,UT,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"4,370",2.604,1.22,,,47.62,"99,050"
Vermont,VT,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,270,0.892,0.42,,,52.31,"108,800"
Virginia,VA,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"9,130",2.292,1.07,,,54.71,"113,800"
Washington,WA,"Federal, State, and Local Government and Private Sector",Financial and Investment Analysts,Business Intelligence,"7,420",2.124,0.99,,,48.49,"100,860"
